Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,B, 22,H,    6, 1.50, 1.50,   204.80,
208,1264,B, 22,H,    7, 0.71, 0.71,   206.30,
208,1264,B, 22,H,CC(7), 0.22, 0.22,   207.01,
208,1264,B, 23,H,    1, 1.50, 1.50,   206.80,
208,1264,B, 23,H,    2, 1.50, 1.50,   208.30,
208,1264,B, 23,H,    3, 1.50, 1.50,   209.80,
208,1264,B, 23,H,    4, 1.50, 1.50,   211.30,
208,1264,B, 23,H,    5, 1.50, 1.50,   212.80,
208,1264,B, 23,H,    6, 1.50, 1.50,   214.30,
208,1264,B, 23,H,    7, 0.53, 0.53,   215.80,
208,1264,B, 23,H,CC(7), 0.10, 0.10,   216.33,"All to PAL."
208,1264,B, 24,H,    1, 1.50, 1.50,   216.30,
208,1264,B, 24,H,    2, 1.50, 1.50,   217.80,
208,1264,B, 24,H,    3, 1.50, 1.50,   219.30,
208,1264,B, 24,H,    4, 1.50, 1.50,   220.80,
208,1264,B, 24,H,    5, 1.50, 1.50,   222.30,
208,1264,B, 24,H,    6, 1.50, 1.50,   223.80,
208,1264,B, 24,H,    7, 0.88, 0.88,   225.30,
208,1264,B, 24,H,CC(7), 0.15, 0.15,   226.18,
208,1264,B, 25,H,    1, 1.50, 1.50,   225.80,
208,1264,B, 25,H,    2, 1.50, 1.50,   227.30,
208,1264,B, 25,H,    3, 1.50, 1.50,   228.80,
208,1264,B, 25,H,    4, 1.50, 1.50,   230.30,
208,1264,B, 25,H,    5, 1.50, 1.50,   231.80,
208,1264,B, 25,H,    6, 1.50, 1.50,   233.30,
208,1264,B, 25,H,    7, 0.71, 0.71,   234.80,
208,1264,B, 25,H,CC(7), 0.13, 0.13,   235.51,
208,1264,B, 26,H,    1, 1.50, 1.50,   235.30,
208,1264,B, 26,H,    2, 1.50, 1.50,   236.80,
208,1264,B, 26,H,    3, 1.50, 1.50,   238.30,
208,1264,B, 26,H,    4, 1.50, 1.50,   239.80,
208,1264,B, 26,H,    5, 1.50, 1.50,   241.30,
208,1264,B, 26,H,    6, 1.50, 1.50,   242.80,
208,1264,B, 26,H,    7, 0.59, 0.59,   244.30,
208,1264,B, 26,H,CC(7), 0.42, 0.42,   244.89,
208,1264,B, 27,H,    1, 1.50, 1.50,   244.80,
208,1264,B, 27,H,    2, 1.50, 1.50,   246.30,
208,1264,B, 27,H,    3, 1.50, 1.50,   247.80,
208,1264,B, 27,H,    4, 1.50, 1.50,   249.30,
